ticker,sector,composite_z,composite_rank,composite_pct,ai_score,ai_rated_at,value_quality_score,value_rank,growth_score,growth_rank,exclusion_reason
SWKS,Information Technology,-0.4006,2099,14.92,,,,,,,
SWMR,Information Technology,,,,,,,,,,new_issue
SWX,Utilities,0.1305,942,61.84,,,,,,,
SXC,Materials,-0.0627,1512,38.73,,,,,,,
SXI,Industrials,0.1453,890,63.95,,,,,,,
SXT,Materials,0.1364,923,62.61,,,,,,,
SYBT,Financials,0.0638,1139,53.85,,,,,,,
SYF,Financials,0.2317,667,72.99,,,,,,,
SYK,Health Care,0.1431,899,63.58,,,,,,,
SYM,Industrials,0.2156,713,71.13,,,,,,,
SYNA,Information Technology,0.2953,524,78.79,,,,,,,
SYRE,Health Care,-0.1182,1655,32.93,,,,,,,
SYY,Industrials,0.08,1092,55.76,,,,,,,
T,Communication Services,0.0623,1143,53.69,,,,,,,
TAC,Utilities,-0.3355,2039,17.36,,,,,,,
TALK,Health Care,,,,,,,,,,new_issue
TALO,Energy,0.2943,525,78.75,,,,,,,
TAP,Consumer Staples,0.0822,1085,56.04,,,,,,,
TARS,Health Care,0.0535,1167,52.72,,,,,,,
TATT,Industrials,0.068,1126,54.38,,,,,,,
TBBB,Consumer Staples,0.463,278,88.77,,,,,,,
TBBK,Financials,0.3915,354,85.69,,,,,,,
TBPH,Health Care,-0.2266,1872,24.13,,,,,,,
TCBI,Financials,-0.0007,1323,46.39,,,,,,,
TCBK,Financials,0.2191,704,71.49,,,,,,,
TCMD,Health Care,0.3442,435,82.4,,,,,,,
TD,Financials,0.5696,183,92.62,,,,,,,
TDAY,Communication Services,0.0038,1309,46.96,,,,,,,
TDC,Information Technology,0.9711,42,98.34,,,,,,,
TDG,Industrials,-0.2276,1874,24.05,,,,,,,
TDOC,Health Care,-0.2683,1947,21.09,,,,,,,
TDS,Communication Services,0.4561,286,88.44,,,,,,,
TDW,Industrials,-0.2315,1885,23.6,,,,,,,
TDY,Industrials,0.1281,955,61.31,,,,,,,
